"Unique_ThreadID","newsgroup","newsgroup_ID","NG_Relative_ThreadID","Thread.Title","URL","Date","Number.of.Messages","Thread_Relevancy"
"NG01_TH01296","netmed","NG01","TH01296","Query: software packages for doctor's office","https://groups.google.com./g/net.med/c/DC6-0jLUUhQ",1986-02-23,1,1
"NG01_TH01291","netmed","NG01","TH01291","The Hospital","https://groups.google.com./g/net.med/c/qUoivPG2HSI",1986-02-21,1,1
"NG01_TH01286","netmed","NG01","TH01286","CPR as portrayed on TV.","https://groups.google.com./g/net.med/c/l46ZBniqKAM",1986-02-20,3,0.333333333333333
"NG01_TH01272","netmed","NG01","TH01272","floaters","https://groups.google.com./g/net.med/c/jYopFScu5GI",1986-02-12,4,0.25
"NG01_TH01264","netmed","NG01","TH01264","Shameful Statistics","https://groups.google.com./g/net.med/c/duEOEKkQpMk",1986-02-10,8,0.5
"NG01_TH01259","netmed","NG01","TH01259","AIDS budget cut proposal","https://groups.google.com./g/net.med/c/vTrrcpv0RUA",1986-02-06,1,1
"NG01_TH01257","netmed","NG01","TH01257","New Drug","https://groups.google.com./g/net.med/c/vT_GcPgy3sI",1986-02-06,1,1
"NG01_TH01253","netmed","NG01","TH01253","MS and dogs","https://groups.google.com./g/net.med/c/6m6cgTPztJk",1986-02-04,1,1
"NG01_TH01250","netmed","NG01","TH01250","Defective Condoms","https://groups.google.com./g/net.med/c/6Ac3NBlNA-Q",1986-02-03,19,0.105263157894737
"NG01_TH01242","netmed","NG01","TH01242","Self diagnosis. (Martin's reply to me.)","https://groups.google.com./g/net.med/c/ao5G2Keug40",1986-01-31,4,0.25
"NG01_TH01239","netmed","NG01","TH01239","Thanks Sue(8-).","https://groups.google.com./g/net.med/c/egZGr8OHgG0",1986-01-30,1,1
"NG01_TH01232","netmed","NG01","TH01232","Placebos: Kaopectate","https://groups.google.com./g/net.med/c/1avCgLmqaSk",1986-01-28,15,0.133333333333333
"NG01_TH01231","netmed","NG01","TH01231","January is National Volunteer Blood Donor Month.","https://groups.google.com./g/net.med/c/2uD5s_b9Vmc",1986-01-28,9,0.222222222222222
"NG01_TH01230","netmed","NG01","TH01230","AIDS Incidence in perspective","https://groups.google.com./g/net.med/c/1ARcUmBKZ10",1986-01-28,1,1
"NG01_TH01226","netmed","NG01","TH01226","Answer to Medical Puzzle #6","https://groups.google.com./g/net.med/c/akgubYYgb4o",1986-01-25,1,5
"NG01_TH01223","netmed","NG01","TH01223","Medical Puzzle #6","https://groups.google.com./g/net.med/c/n6na0jO0yro",1986-01-23,2,1
"NG01_TH01204","netmed","NG01","TH01204","Biography of Carlton Fredericks","https://groups.google.com./g/net.med/c/6-CLHQ21zc4",1986-01-18,12,0.0833333333333333
"NG01_TH01199","netmed","NG01","TH01199","Medical Puzzle #4","https://groups.google.com./g/net.med/c/7Zf-KyGNyeU",1986-01-17,5,0.4
"NG01_TH01190","netmed","NG01","TH01190","Controlling High Blood Pressure","https://groups.google.com./g/net.med/c/e4Ve9q31-HI",1986-01-15,2,1
"NG01_TH01189","netmed","NG01","TH01189","Caloric Expenditure","https://groups.google.com./g/net.med/c/6duxSHAD4K0",1986-01-15,2,1
"NG01_TH01182","netmed","NG01","TH01182","Answer to Medical Puzzle #4","https://groups.google.com./g/net.med/c/3FCaUoFpyfM",1986-01-10,1,1
"NG01_TH01165","netmed","NG01","TH01165","Need help selecting Apollo vs. Sun and a Relational DBMS for hospitals","https://groups.google.com./g/net.med/c/ccEDCtD39Yc",1986-01-06,9,0.444444444444444
"NG01_TH01164","netmed","NG01","TH01164","On meeting someone with AIDS","https://groups.google.com./g/net.med/c/mjsT7OncThg",1986-01-03,1,1
"NG01_TH01160","netmed","NG01","TH01160","circumcisions not paid for by major health insurance","https://groups.google.com./g/net.med/c/YjgJKusDvBI",1985-12-30,1,1
"NG01_TH01157","netmed","NG01","TH01157","AIDS Research - Antiviral Drugs (Query)?","https://groups.google.com./g/net.med/c/zTIyZZtv2fA",1985-12-23,7,2.57142857142857
"NG01_TH01149","netmed","NG01","TH01149","Coke isn't it (for contraception)","https://groups.google.com./g/net.med/c/KMOzO7mmKA4",1985-12-16,16,0.625
"NG01_TH01141","netmed","NG01","TH01141","Medical Case History - Answers","https://groups.google.com./g/net.med/c/K5nG26dwNGs",1985-12-12,2,0.5
"NG01_TH01124","netmed","NG01","TH01124","CROUP","https://groups.google.com./g/net.med/c/nkQT7ABfBk4",1985-12-05,2,0.5
"NG01_TH01119","netmed","NG01","TH01119","Hard lens advise request","https://groups.google.com./g/net.med/c/a7Ttu1d0E14",1985-12-04,11,0.0909090909090909
"NG01_TH01117","netmed","NG01","TH01117","prevention of aids","https://groups.google.com./g/net.med/c/06JJZSw6Oz8",1985-12-04,1,2
"NG01_TH01115","netmed","NG01","TH01115","Answer to AIDS questions","https://groups.google.com./g/net.med/c/5cgl9ZU_E2g",1985-12-03,6,2
"NG01_TH01112","netmed","NG01","TH01112","Vitamin C helps, but... (caveats)","https://groups.google.com./g/net.med/c/WAHclp1zEVc",1985-12-03,3,0.666666666666667
"NG01_TH01106","netmed","NG01","TH01106","a stupid question about lupus and AIDS","https://groups.google.com./g/net.med/c/oU7RSM2COlE",1985-11-25,1,1
"NG01_TH01105","netmed","NG01","TH01105","not on my shift","https://groups.google.com./g/net.med/c/HZcj85Fm3_o",1985-11-25,1,1
"NG01_TH01103","netmed","NG01","TH01103","Saving Lives","https://groups.google.com./g/net.med/c/De20yQjf2eQ",1985-11-25,9,2
"NG01_TH01101","netmed","NG01","TH01101","Possible Good News about AIDS?","https://groups.google.com./g/net.med/c/PKhA-E7TCOo",1985-11-23,1,2
"NG01_TH01097","netmed","NG01","TH01097","Query on treatment of Hypernephroma and other visceral carcinoma.","https://groups.google.com./g/net.med/c/VWtLgvXT3h0",1985-11-22,3,0.333333333333333
"NG01_TH01091","netmed","NG01","TH01091","A Pro-Smoking Article.","https://groups.google.com./g/net.med/c/C05Rvwa0VVU",1985-11-20,7,0.285714285714286
"NG01_TH01089","netmed","NG01","TH01089","A Tale of Two Diseases.","https://groups.google.com./g/net.med/c/7r0uDYUi4Y4",1985-11-20,8,0.25
"NG01_TH01082","netmed","NG01","TH01082","Thiazide diuretics & blood lipid level","https://groups.google.com./g/net.med/c/Y30fRkw-QUc",1985-11-17,5,0.8
"NG01_TH01079","netmed","NG01","TH01079","AIDS in Africa: a newspaper editorial","https://groups.google.com./g/net.med/c/GSscEgGnBcA",1985-11-16,2,3
"NG01_TH01075","netmed","NG01","TH01075","Cancer","https://groups.google.com./g/net.med/c/_gSBIqtkqv0",1985-11-15,1,1
"NG01_TH01074","netmed","NG01","TH01074","Shift in ADIS risk groups?","https://groups.google.com./g/net.med/c/MwwcrTFpHls",1985-11-14,1,2
"NG01_TH01071","netmed","NG01","TH01071","Scary thought about AIDS","https://groups.google.com./g/net.med/c/RjaQzfsldbQ",1985-11-12,5,1.6
"NG01_TH01067","netmed","NG01","TH01067","Radial Keratotomy -- WARNING!! --","https://groups.google.com./g/net.med/c/URkqJeQwoqs",1985-11-11,3,0.333333333333333
"NG01_TH01066","netmed","NG01","TH01066","What is Lupus?","https://groups.google.com./g/net.med/c/cG3sXoNaQ-o",1985-11-11,4,0.5
"NG01_TH01065","netmed","NG01","TH01065","Three questions for Dr. Stoll","https://groups.google.com./g/net.med/c/BAfg-rbZw2A",1985-11-10,1,1
"NG01_TH01063","netmed","NG01","TH01063","RP","https://groups.google.com./g/net.med/c/Ndvoi8JErD8",1985-11-09,1,1
"NG01_TH01060","netmed","NG01","TH01060","FDA and WSJ","https://groups.google.com./g/net.med/c/wcS3tSUBy8g",1985-11-08,1,1
"NG01_TH01053","netmed","NG01","TH01053","Cure My Cold, Please","https://groups.google.com./g/net.med/c/Ivpz2UlCuk4",1985-11-04,12,0.416666666666667
"NG01_TH01051","netmed","NG01","TH01051","Genital Herpes and (NOT) Cancer","https://groups.google.com./g/net.med/c/qi1-OKMCgoo",1985-11-03,1,2
"NG01_TH01042","netmed","NG01","TH01042","Risks factors relating to heart attack.","https://groups.google.com./g/net.med/c/0vdJy4F_D-8",1985-10-29,7,0.428571428571429
"NG01_TH01038","netmed","NG01","TH01038","Growth Hormones","https://groups.google.com./g/net.med/c/DMrGfBzAnJo",1985-10-27,2,0.5
"NG01_TH01034","netmed","NG01","TH01034","Layman's Terms","https://groups.google.com./g/net.med/c/ozsf0Gz_ZOs",1985-10-25,1,1
"NG01_TH01033","netmed","NG01","TH01033","legal definition of practice of medicine","https://groups.google.com./g/net.med/c/FYtfw9w2ypM",1985-10-24,17,0.117647058823529
"NG01_TH01030","netmed","NG01","TH01030","AIDS transmission (not easy to come by)","https://groups.google.com./g/net.med/c/RBVQ99n7o6I",1985-10-22,2,1.5
"NG01_TH01029","netmed","NG01","TH01029","Radial Keratotomy","https://groups.google.com./g/net.med/c/sdGTtyTNcOo",1985-10-21,2,1
"NG01_TH01028","netmed","NG01","TH01028","AIDS: beyond high-risk groups","https://groups.google.com./g/net.med/c/0giK_GQ_-XY",1985-10-21,19,1.94736842105263
"NG01_TH01025","netmed","NG01","TH01025","Aids screening","https://groups.google.com./g/net.med/c/DYfYNNI61YM",1985-10-21,1,1
"NG01_TH01022","netmed","NG01","TH01022","In Support of Hazards of Amalgams (the question of references)","https://groups.google.com./g/net.med/c/h9qDftUr_3g",1985-10-19,25,0.04
"NG01_TH01021","netmed","NG01","TH01021","YOU are responsible!","https://groups.google.com./g/net.med/c/rRkC-hKAG58",1985-10-19,3,0.333333333333333
"NG01_TH01017","netmed","NG01","TH01017","AIDS: Casual contact exonerated","https://groups.google.com./g/net.med/c/a0hVZmyMBiA",1985-10-16,1,4
"NG01_TH01016","netmed","NG01","TH01016","Being sensible about AIDS transmission","https://groups.google.com./g/net.med/c/Yx6HXihhKPM",1985-10-16,3,1
"NG01_TH01015","netmed","NG01","TH01015","Update on AIDS and Health Care Workers.","https://groups.google.com./g/net.med/c/Z4GcqGYKPfY",1985-10-16,2,1.5
"NG01_TH01012","netmed","NG01","TH01012","Colchicine as a treatment for MS?","https://groups.google.com./g/net.med/c/dFH1gqSfIwg",1985-10-11,1,1
"NG01_TH01011","netmed","NG01","TH01011","warts, a personal testimony","https://groups.google.com./g/net.med/c/7K1z5EloYpw",1985-10-10,3,0.333333333333333
"NG01_TH01010","netmed","NG01","TH01010","Chlamydia Detection","https://groups.google.com./g/net.med/c/zs89CVJJxPg",1985-10-10,1,1
"NG01_TH01007","netmed","NG01","TH01007","What about lepers?","https://groups.google.com./g/net.med/c/pd6s2lU1IlU",1985-10-06,5,0.4
"NG01_TH01001","netmed","NG01","TH01001","Politics of AIDS, of Foster Care","https://groups.google.com./g/net.med/c/NB_zOSZvP_E",1985-10-03,16,1.625
"NG01_TH00996","netmed","NG01","TH00996","Sudden Intimacies","https://groups.google.com./g/net.med/c/2qn00TgPg2w",1985-10-02,1,1
"NG01_TH00990","netmed","NG01","TH00990","placenta previa","https://groups.google.com./g/net.med/c/UeK9nYaJEOA",1985-10-01,4,0.25
"NG01_TH00989","netmed","NG01","TH00989","Treatment for diabetes-related eye trouble","https://groups.google.com./g/net.med/c/RcmVQR3rBs8",1985-10-01,1,3
"NG01_TH00985","netmed","NG01","TH00985","Patient Satisfaction and Dissatisfaction","https://groups.google.com./g/net.med/c/YqwTwYYxjY0",1985-10-01,1,1
"NG01_TH00983","netmed","NG01","TH00983","Immunizations causing handicaps","https://groups.google.com./g/net.med/c/CQy4AYPyIFY",1985-09-30,13,0.0769230769230769
"NG01_TH00978","netmed","NG01","TH00978","Dangerous, Nonproductive Assumptions of Some Critics On the Net","https://groups.google.com./g/net.med/c/ddvS8XvxLFo",1985-09-25,2,0.5
"NG01_TH00977","netmed","NG01","TH00977","Changing Left-handedness to Right-handedness","https://groups.google.com./g/net.med/c/ABkTIOZoJws",1985-09-25,53,0.0566037735849057
"NG01_TH00974","netmed","NG01","TH00974","An open letter to Mike Schwarz: HOW TO FIND A GOOD HOLISTIC MD","https://groups.google.com./g/net.med/c/4tidfn4VIig",1985-09-24,2,0.5
"NG01_TH00972","netmed","NG01","TH00972","Cancer and physician arrogance","https://groups.google.com./g/net.med/c/cdHU_BCG8qY",1985-09-23,1,1
"NG01_TH00970","netmed","NG01","TH00970","Open letter to Peter Bauernfeind: Rx of Plantar Warts","https://groups.google.com./g/net.med/c/KGQGu5OlIu0",1985-09-20,5,0.2
"NG01_TH00969","netmed","NG01","TH00969","Amalgam (silver) Dental Fillings are a Serious Health Hazard","https://groups.google.com./g/net.med/c/FHJGsIyB6o4",1985-09-19,6,0.333333333333333
"NG01_TH00958","netmed","NG01","TH00958","Food can affect people's moods (also immune system).","https://groups.google.com./g/net.med/c/bjZKlOu-p5Y",1985-09-13,2,1.5
"NG01_TH00954","netmed","NG01","TH00954","Politics of AIDS - military testing","https://groups.google.com./g/net.med/c/Dto2-30mKU8",1985-09-12,1,2
"NG01_TH00952","netmed","NG01","TH00952","The Modern Concept of ""STRESS""","https://groups.google.com./g/net.med/c/jZbEdzXpvv0",1985-09-10,2,0.5
"NG01_TH00947","netmed","NG01","TH00947","Chinese Medicine","https://groups.google.com./g/net.med/c/v0ukM78vJGM",1985-09-08,2,0.5
"NG01_TH00944","netmed","NG01","TH00944","Phagocytic Index and Sugar---some hard data","https://groups.google.com./g/net.med/c/SyMIpP4a9vg",1985-09-07,1,1
"NG01_TH00942","netmed","NG01","TH00942","Personal Revelation about AIDS","https://groups.google.com./g/net.med/c/fjV21T5IOmg",1985-09-06,1,1
"NG01_TH00939","netmed","NG01","TH00939","Sugar - harmless, no - deadly, yes","https://groups.google.com./g/net.med/c/JiyTo-MO1RA",1985-09-05,24,0.0416666666666667
"NG01_TH00928","netmed","NG01","TH00928","Guaranteed Cure For Athletes' Foot--A Holistic Challenge to Scoffers!","https://groups.google.com./g/net.med/c/C66RK3hBNfE",1985-09-03,5,0.2
"NG01_TH00922","netmed","NG01","TH00922","chemical depression?","https://groups.google.com./g/net.med/c/3Rv4yUGZ6Cc",1985-08-31,5,0.2
"NG01_TH00921","netmed","NG01","TH00921","Diet, Nutrition, and Cancer Prevention (pointer)","https://groups.google.com./g/net.med/c/yDDbQj3XAV0",1985-08-31,13,0.153846153846154
"NG01_TH00920","netmed","NG01","TH00920","Folk Medicine/Herbalism/Home remedies","https://groups.google.com./g/net.med/c/9Elmbn8_nnM",1985-08-30,1,1
"NG01_TH00914","netmed","NG01","TH00914","Prevention, science, etc.","https://groups.google.com./g/net.med/c/saUWsCgLDkg",1985-08-29,3,0.333333333333333
"NG01_TH00913","netmed","NG01","TH00913","RABIES IS A PSYCHOSOMATIC DISEASE !","https://groups.google.com./g/net.med/c/M1LbXoNDuMg",1985-08-29,8,0.5
"NG01_TH00912","netmed","NG01","TH00912","The topics that were requested...","https://groups.google.com./g/net.med/c/P8xpk_QdSLU",1985-08-29,11,0.363636363636364
"NG01_TH00908","netmed","NG01","TH00908","Viral infections: Modern medicine seems virtually helpless!","https://groups.google.com./g/net.med/c/DlSb64ZfDXk",1985-08-29,28,0.571428571428571
"NG01_TH00903","netmed","NG01","TH00903","X-Ray exposures","https://groups.google.com./g/net.med/c/Ne3EIoZcZhw",1985-08-28,3,0.333333333333333
"NG01_TH00900","netmed","NG01","TH00900","New Medical Syndromes","https://groups.google.com./g/net.med/c/jJ22GLaG6Yk",1985-08-28,1,1
"NG01_TH00899","netmed","NG01","TH00899","Hair Analysis is a sham !","https://groups.google.com./g/net.med/c/mCvbqi0tNiU",1985-08-26,1,1
"NG01_TH00893","netmed","NG01","TH00893","Hostile faddists","https://groups.google.com./g/net.med/c/MiyerBT4mwk",1985-08-24,4,0.25
"NG01_TH00892","netmed","NG01","TH00892","Viral infections: Really CBW","https://groups.google.com./g/net.med/c/WOr0JQyrGB8",1985-08-23,1,1
"NG01_TH00887","netmed","NG01","TH00887","dried fruit","https://groups.google.com./g/net.med/c/cyrLoJzYP0o",1985-08-22,7,0.142857142857143
"NG01_TH00882","netmed","NG01","TH00882","Viruses (esp. rabies)","https://groups.google.com./g/net.med/c/vSZzpMt9thE",1985-08-21,12,0.333333333333333
"NG01_TH00877","netmed","NG01","TH00877","Hyperbaric chambers","https://groups.google.com./g/net.med/c/n-375I6P35Q",1985-08-20,4,0.25
"NG01_TH00876","netmed","NG01","TH00876","Chemotherapy and natural products /plus other gripes","https://groups.google.com./g/net.med/c/VA8ifx0lJew",1985-08-20,1,1
"NG01_TH00875","netmed","NG01","TH00875","AIDS Transmission (Addendum)","https://groups.google.com./g/net.med/c/mOyXcZB48N8",1985-08-20,7,0.714285714285714
"NG01_TH00872","netmed","NG01","TH00872","Proof that AIDS can be transmitted by Semen","https://groups.google.com./g/net.med/c/82jkWkwWkyk",1985-08-20,1,3
"NG01_TH00871","netmed","NG01","TH00871","attacking viruses","https://groups.google.com./g/net.med/c/1PcqFMytA2c",1985-08-19,5,0.8
"NG01_TH00866","netmed","NG01","TH00866","Testimonials","https://groups.google.com./g/net.med/c/UWYaBwCvIBc",1985-08-16,3,0.333333333333333
"NG01_TH00865","netmed","NG01","TH00865","AIDS PREVENTABLE #2","https://groups.google.com./g/net.med/c/JvcFERwNcvU",1985-08-16,2,1
"NG01_TH00864","netmed","NG01","TH00864","Folk Medicine","https://groups.google.com./g/net.med/c/xlU-VqB0Pr8",1985-08-16,3,0.333333333333333
"NG01_TH00863","netmed","NG01","TH00863","anti-inflammatories","https://groups.google.com./g/net.med/c/_gR321kCIx0",1985-08-16,3,0.333333333333333
"NG01_TH00862","netmed","NG01","TH00862","Seldane, (terfenadine) article in Medical Letter","https://groups.google.com./g/net.med/c/2uLZ6nNzljA",1985-08-16,1,1
"NG01_TH00861","netmed","NG01","TH00861","Cure for hepatic cancer?","https://groups.google.com./g/net.med/c/PrYFH4CoraI",1985-08-15,1,1
"NG01_TH00858","netmed","NG01","TH00858","Aluminum pans-a health risk?","https://groups.google.com./g/net.med/c/qBtOE9AP0R4",1985-08-15,7,0.571428571428571
"NG01_TH00855","netmed","NG01","TH00855","Sushi","https://groups.google.com./g/net.med/c/a4cRv7-HPG4",1985-08-15,8,0.125
"NG01_TH00851","netmed","NG01","TH00851","Every MD's office needs a Chiropractor.","https://groups.google.com./g/net.med/c/6YTHqjyiiMs",1985-08-14,3,0.333333333333333
"NG01_TH00843","netmed","NG01","TH00843","Identifying Cancer Quackery","https://groups.google.com./g/net.med/c/A85lTAvvIhg",1985-08-12,2,0.5
"NG01_TH00841","netmed","NG01","TH00841","AIDS IS PREVENTABLE","https://groups.google.com./g/net.med/c/xW4EgHYHk74",1985-08-11,5,1.6
"NG01_TH00839","netmed","NG01","TH00839","Bad news for sushi eaters.","https://groups.google.com./g/net.med/c/N_iuniUEgLA",1985-08-10,1,1
"NG01_TH00836","netmed","NG01","TH00836","prevention <---> treatment","https://groups.google.com./g/net.med/c/O0nKLq-PzHk",1985-08-09,18,0.166666666666667
"NG01_TH00835","netmed","NG01","TH00835","Healthy Pans","https://groups.google.com./g/net.med/c/aOouatxBRtk",1985-08-08,4,0.75
"NG01_TH00833","netmed","NG01","TH00833","Bermuda Cancer (?) Clinic and AIDS","https://groups.google.com./g/net.med/c/M1rIC9IoLDg",1985-08-08,1,2
"NG01_TH00828","netmed","NG01","TH00828","AIDS in the news","https://groups.google.com./g/net.med/c/w2qGlAxh-X0",1985-08-08,2,0.5
"NG01_TH00824","netmed","NG01","TH00824","I,too,have eliminated sugar from my diet. Re: net.med#722","https://groups.google.com./g/net.med/c/oQ34BfKYF38",1985-08-05,2,0.5
"NG01_TH00823","netmed","NG01","TH00823","Poll reports fear of AIDS growing in US","https://groups.google.com./g/net.med/c/KbsYoEHnaFc",1985-08-05,1,2
"NG01_TH00814","netmed","NG01","TH00814","Medical breakthroughs","https://groups.google.com./g/net.med/c/wn_-3mYjzOA",1985-07-30,2,0.5
"NG01_TH00813","netmed","NG01","TH00813","Exciting prospects!!","https://groups.google.com./g/net.med/c/h77XoBe-TRw",1985-07-30,2,1
"NG01_TH00811","netmed","NG01","TH00811","PKU screening (Re: expecting father & nutrasweet)","https://groups.google.com./g/net.med/c/9CQ9BzTH5Qk",1985-07-29,1,1
"NG01_TH00806","netmed","NG01","TH00806","Breast Cancer Treatment.","https://groups.google.com./g/net.med/c/YIv3mp1eAy4",1985-07-27,18,0.5
"NG01_TH00805","netmed","NG01","TH00805","Medical/Russian Joke","https://groups.google.com./g/net.med/c/Lu8shFu-Pjw",1985-07-27,1,1
"NG01_TH00801","netmed","NG01","TH00801","AIDS","https://groups.google.com./g/net.med/c/w1K16tU-dHQ",1985-07-25,1,1
"NG01_TH00799","netmed","NG01","TH00799","More Perils of NutraSweet (reference to article)","https://groups.google.com./g/net.med/c/3LO34nVfLXM",1985-07-24,6,0.166666666666667
"NG01_TH00796","netmed","NG01","TH00796","The Immune System and Cancer: A Rebuttal","https://groups.google.com./g/net.med/c/B8inQ-A80VE",1985-07-24,1,5
"NG01_TH00791","netmed","NG01","TH00791","rape - a review and discussion","https://groups.google.com./g/net.med/c/xfsAujyMWPw",1985-07-20,1,1
