"ThreadID","Thread.Title","URL","Date","Number.of.Messages","newsgroup"
"TH01373","""The McDougall Plan"" by Dr. John McDougall","https://groups.google.com./g/net.med/c/qqcaUuXp7WU","3/21/86",1,"netmed"
"TH01372","question about hypercalcemia","https://groups.google.com./g/net.med/c/sGcWLtf75bk","3/20/86",2,"netmed"
"TH01371","Chiropractors, pain in the back","https://groups.google.com./g/net.med/c/fP5rw6403nA","3/20/86",2,"netmed"
"TH01370","Calcium Sources","https://groups.google.com./g/net.med/c/aItt2cCYdiw","3/20/86",1,"netmed"
"TH01369","What do you go to chiropractors for?","https://groups.google.com./g/net.med/c/Dz4ak_nyvFo","3/20/86",6,"netmed"
"TH01368","My opinion of Chiropractors.","https://groups.google.com./g/net.med/c/Zm9yrteQl0s","3/19/86",12,"netmed"
"TH01367","Augmentative Communication Systems: is anyone on the net involved?","https://groups.google.com./g/net.med/c/TAOmNz0SBhU","3/19/86",1,"netmed"
"TH01366","More NOVA programs...","https://groups.google.com./g/net.med/c/dcM8nVy3hcs","3/19/86",1,"netmed"
"TH01365","TUMS as calcium supplement???","https://groups.google.com./g/net.med/c/OTup98KkhlE","3/18/86",3,"netmed"
"TH01364","Questions on Food Allergies","https://groups.google.com./g/net.med/c/FBbzPFKKC48","3/18/86",1,"netmed"
"TH01363","Wanted: The Emergence of Man Time/Life series","https://groups.google.com./g/net.med/c/FePvwB62R44","3/18/86",1,"netmed"
"TH01362","a vitamin called Acidophilus","https://groups.google.com./g/net.med/c/E-ggQ9HMg84","3/18/86",5,"netmed"
"TH01361","exercise","https://groups.google.com./g/net.med/c/Ab95uod1pDc","3/18/86",2,"netmed"
"TH01360","Medical Puzzle #13","https://groups.google.com./g/net.med/c/VqFGWUXr2ZQ","3/17/86",1,"netmed"
"TH01359","The Plan (POMM8)","https://groups.google.com./g/net.med/c/8BewVfvocsw","3/17/86",1,"netmed"
"TH01358","I would like some information on Tunnel Carpal Syndrome.","https://groups.google.com./g/net.med/c/YQyO78-ixsI","3/17/86",1,"netmed"
"TH01357","Chiropractors","https://groups.google.com./g/net.med/c/qhwKOdq37jc","3/17/86",1,"netmed"
"TH01356","net.rec.drugs","https://groups.google.com./g/net.med/c/7UYCX-mGnRo","3/16/86",1,"netmed"
"TH01355","Recomendations wanted for books about sleep.","https://groups.google.com./g/net.med/c/cqYVT-tU3zw","3/14/86",1,"netmed"
"TH01354","More Warnings on eating raw shellfish","https://groups.google.com./g/net.med/c/3n1DvkDCfHk","3/14/86",1,"netmed"
"TH01353","Gamblers Anonymous","https://groups.google.com./g/net.med/c/pnVRia4kYoo","3/13/86",1,"netmed"
"TH01352","AIDS and RE: The worst (hist.) surgical proc.","https://groups.google.com./g/net.med/c/sI1ETPXOpyc","3/12/86",12,"netmed"
"TH01351","? for Internists/Surgeons/Those in the know","https://groups.google.com./g/net.med/c/f8LcLb9zRXc","3/12/86",1,"netmed"
"TH01350","Calcium Question","https://groups.google.com./g/net.med/c/4MAKl85yOLE","3/11/86",2,"netmed"
"TH01349","exercise?","https://groups.google.com./g/net.med/c/5Z8gIQcIlwU","3/11/86",4,"netmed"
"TH01348","Unipro nutitional suppliments","https://groups.google.com./g/net.med/c/xr0PYgyO6mE","3/11/86",2,"netmed"
"TH01347","The Prevalence of Vit. C Deficiency","https://groups.google.com./g/net.med/c/Spx8jicZvpA","3/10/86",1,"netmed"
"TH01346","Warning are sought on Vitamin Supplements","https://groups.google.com./g/net.med/c/ZXvPuPI9UtU","3/10/86",5,"netmed"
"TH01345","""Backpractors"".","https://groups.google.com./g/net.med/c/mpnSXsERABo","3/10/86",1,"netmed"
"TH01344","finding a good doctor","https://groups.google.com./g/net.med/c/pfAsEuX0EYM","3/9/86",3,"netmed"
"TH01343","Where are drugs (opiates) legal?","https://groups.google.com./g/net.med/c/wLlh2IORVtI","3/9/86",25,"netmed"
"TH01342","Answer to Medical Puzzle #11","https://groups.google.com./g/net.med/c/HsUmo9R0_3o","3/8/86",2,"netmed"
"TH01341","Medical Puzzle #12","https://groups.google.com./g/net.med/c/k7te4kuCTgQ","3/8/86",1,"netmed"
"TH01340","Clove cigarettes -- hazard","https://groups.google.com./g/net.med/c/xNj1HrXHnn8","3/7/86",1,"netmed"
"TH01339","The Twins","https://groups.google.com./g/net.med/c/bK6niIRhkt4","3/6/86",4,"netmed"
"TH01338","I must agree with Steve Dyer","https://groups.google.com./g/net.med/c/vADElY2cbxw","3/6/86",1,"netmed"
"TH01337","biting aluminum foil","https://groups.google.com./g/net.med/c/yj9Lba9F7Q0","3/5/86",6,"netmed"
"TH01336","Minor Strokes (was Re: Depiction: What I Really Think)","https://groups.google.com./g/net.med/c/B9ogw0pYLos","3/5/86",1,"netmed"
"TH01335","Premenstrual Syndrome","https://groups.google.com./g/net.med/c/WTD1m81a7TE","3/5/86",1,"netmed"
"TH01334","""medical student seeks u.s. rotation""","https://groups.google.com./g/net.med/c/xFnEcgfpYyo","3/5/86",1,"netmed"
"TH01333","another question to peruse","https://groups.google.com./g/net.med/c/GH8FamNGdp8","3/4/86",1,"netmed"
"TH01332","Contact fiasco (summary)","https://groups.google.com./g/net.med/c/nybvNcWTHyE","3/4/86",1,"netmed"
"TH01331","Antibiotics over-the-counter","https://groups.google.com./g/net.med/c/VjfBwF_zgYQ","3/4/86",1,"netmed"
"TH01330","Injured feet & varying medical advice","https://groups.google.com./g/net.med/c/xvY_x-4B4p8","3/4/86",3,"netmed"
"TH01329","Another Calcium Question","https://groups.google.com./g/net.med/c/aO65T0dg_WI","3/4/86",1,"netmed"
"TH01328","FOOT CRAMPS","https://groups.google.com./g/net.med/c/drbV8OI0goA","3/3/86",5,"netmed"
"TH01327","Muscle cramps","https://groups.google.com./g/net.med/c/EAUAkF4YGe8","3/3/86",2,"netmed"
"TH01326","Depression and (oh, no!) vitamins","https://groups.google.com./g/net.med/c/M853UWIMhDo","3/3/86",7,"netmed"
"TH01325","Memory","https://groups.google.com./g/net.med/c/QTBpdTd__SY","3/2/86",5,"netmed"
"TH01324","question about potassium supplements","https://groups.google.com./g/net.med/c/R9krVI5qdi4","3/1/86",4,"netmed"
"TH01323","Living With A Broken Leg","https://groups.google.com./g/net.med/c/daFEVcfHjQI","3/1/86",1,"netmed"
"TH01322","Smoking References","https://groups.google.com./g/net.med/c/s1V6QrMk5vM","2/28/86",1,"netmed"
"TH01321","Note/Correction to Medical Puzzle #11","https://groups.google.com./g/net.med/c/jn7qO3iE4NU","2/28/86",1,"netmed"
"TH01320","how do you choose a doctor?","https://groups.google.com./g/net.med/c/118C_QH1zTY","2/28/86",1,"netmed"
"TH01319","Shigechio Izumi dead","https://groups.google.com./g/net.med/c/b-3151VUKTw","2/28/86",2,"netmed"
"TH01318","Vanishing sense of smell","https://groups.google.com./g/net.med/c/MKhdJKX3PSw","2/27/86",2,"netmed"
"TH01317","bumper sticker","https://groups.google.com./g/net.med/c/ELsX1-ws6U4","2/27/86",1,"netmed"
"TH01316","Question -- Migraine Symptomology?","https://groups.google.com./g/net.med/c/qg_AKPSRCSc","2/27/86",2,"netmed"
"TH01315","Medical Puzzle # 11","https://groups.google.com./g/net.med/c/OxePO_BhtFw","2/27/86",1,"netmed"
"TH01314","Addendum to Medical Puzzle #10","https://groups.google.com./g/net.med/c/LYwp5-Gxij0","2/27/86",1,"netmed"
"TH01313","Answer to Medical Puzzle #10","https://groups.google.com./g/net.med/c/aepJDNsrdgQ","2/27/86",1,"netmed"
"TH01312","Milk intolerance.","https://groups.google.com./g/net.med/c/VOKKlg901b8","2/27/86",3,"netmed"
"TH01311","``Congenital dysplasia of the limbs'' -- huh?","https://groups.google.com./g/net.med/c/iVKJXVxP4eE","2/27/86",2,"netmed"
"TH01310","Tetracycline and Antacids","https://groups.google.com./g/net.med/c/ouoNlZtjBxo","2/27/86",6,"netmed"
"TH01309","Thick-feeling and Contact Lenses","https://groups.google.com./g/net.med/c/Nlk-p2RgLMI","2/26/86",1,"netmed"
"TH01308","The worst (historical) surgical procedure","https://groups.google.com./g/net.med/c/w2PT9SGgA7Y","2/26/86",13,"netmed"
"TH01307","Medical Puzzle #10","https://groups.google.com./g/net.med/c/wRbCCjTuzpM","2/26/86",3,"netmed"
"TH01306","Doctor Joke","https://groups.google.com./g/net.med/c/KOvmoQtxKv8","2/26/86",1,"netmed"
"TH01305","Medical Puzzler #8898?","https://groups.google.com./g/net.med/c/QaGfb2HaorY","2/26/86",1,"netmed"
"TH01304","contact lens fiasco","https://groups.google.com./g/net.med/c/hzYJwabkEJs","2/25/86",4,"netmed"
"TH01303","Starved for affliction","https://groups.google.com./g/net.med/c/X3tZaFQoZFc","2/25/86",3,"netmed"
"TH01302","Science Fair (Help !)","https://groups.google.com./g/net.med/c/51qvqt0qjks","2/24/86",1,"netmed"
"TH01301","article i posted that died","https://groups.google.com./g/net.med/c/hmq_H4suuEM","2/24/86",1,"netmed"
"TH01300","Answer to Medical Puzzle #9","https://groups.google.com./g/net.med/c/UbSALEST2L4","2/24/86",2,"netmed"
"TH01299","potential for arthritis","https://groups.google.com./g/net.med/c/RU05tkjHFH8","2/24/86",1,"netmed"
"TH01298","treatment for sprains, strains","https://groups.google.com./g/net.med/c/vSGK83g0glk","2/24/86",1,"netmed"
"TH01297","contact lens fiasco, or ""How long do they last?""","https://groups.google.com./g/net.med/c/sYoYAseaLdQ","2/24/86",1,"netmed"
"TH01296","Query: software packages for doctor's office","https://groups.google.com./g/net.med/c/DC6-0jLUUhQ","2/23/86",1,"netmed"
"TH01295","Travel to Nicaragua & work at your profession/hobby for 2 weeks","https://groups.google.com./g/net.med/c/Ph1Rn9WznYA","2/23/86",1,"netmed"
"TH01294","Designer Bandages","https://groups.google.com./g/net.med/c/gelu6cSxjFk","2/22/86",1,"netmed"
"TH01293","Milk is not for every body.","https://groups.google.com./g/net.med/c/ZX_iW0aqcuo","2/21/86",4,"netmed"
"TH01292","Danger/non-danger of smoking references wanted","https://groups.google.com./g/net.med/c/s_I5-Fpw5no","2/21/86",2,"netmed"
"TH01291","The Hospital","https://groups.google.com./g/net.med/c/qUoivPG2HSI","2/21/86",1,"netmed"
"TH01290","Amer.Soc.Biol.Chemists meeting June 8-12, Washington, D.C.","https://groups.google.com./g/net.med/c/EDuinXAqPMM","2/20/86",1,"netmed"
"TH01289","Golden Hair Syndrome -- What is it?","https://groups.google.com./g/net.med/c/cADEQwa76gM","2/20/86",1,"netmed"
"TH01288","Soy allergy","https://groups.google.com./g/net.med/c/cZxEFF9lsmw","2/20/86",1,"netmed"
"TH01287","Losing Body Fat","https://groups.google.com./g/net.med/c/0s0c5rMv0oI","2/20/86",1,"netmed"
"TH01286","CPR as portrayed on TV.","https://groups.google.com./g/net.med/c/l46ZBniqKAM","2/20/86",3,"netmed"
"TH01285","Discomfort After Taking Contacts Out","https://groups.google.com./g/net.med/c/83USQMcIoCc","2/20/86",2,"netmed"
"TH01284","the food groups vs. the chinese","https://groups.google.com./g/net.med/c/EsxzL6liDsE","2/20/86",9,"netmed"
"TH01283","CPR, First Aid, & Liability","https://groups.google.com./g/net.med/c/qVvEd-3DBPQ","2/19/86",5,"netmed"
"TH01282","Data on human exposures to toxic chemicals sought","https://groups.google.com./g/net.med/c/rhw7qqVp1H0","2/19/86",1,"netmed"
"TH01281","PBS Nova program -- 'The Case of the Frozen Addict'","https://groups.google.com./g/net.med/c/h83zpVr8v0I","2/18/86",1,"netmed"
"TH01280","Best Ways of Reducing body fat???","https://groups.google.com./g/net.med/c/4oxnfJe5zu0","2/18/86",1,"netmed"
"TH01279","Dr. Joke.","https://groups.google.com./g/net.med/c/XlZbQZcES1U","2/18/86",1,"netmed"
"TH01278","Medical Quiz # 89976","https://groups.google.com./g/net.med/c/QNrplu0hGfA","2/18/86",1,"netmed"
"TH01277","Sprained Ankle","https://groups.google.com./g/net.med/c/LL-mr6iXO6U","2/15/86",1,"netmed"
"TH01276","pertussis (whooping cough) innoculation","https://groups.google.com./g/net.med/c/8TNP4BmXYrY","2/13/86",1,"netmed"
"TH01275","Barbara's reply on MVP.","https://groups.google.com./g/net.med/c/yXuvuMAgo6Y","2/13/86",1,"netmed"
"TH01274","Pregnancy During Residency","https://groups.google.com./g/net.med/c/iuowA5JqYsI","2/13/86",1,"netmed"
"TH01273","Correction about eye specialists (from article 1788)","https://groups.google.com./g/net.med/c/MvQ4qEEfZvk","2/12/86",1,"netmed"
"TH01272","floaters","https://groups.google.com./g/net.med/c/jYopFScu5GI","2/12/86",4,"netmed"
"TH01271","Medical Puzzle #9","https://groups.google.com./g/net.med/c/y3eiXxgxumQ","2/12/86",1,"netmed"
"TH01270","Answer to Medical Puzzle #8","https://groups.google.com./g/net.med/c/N36YYcDA21I","2/12/86",1,"netmed"
"TH01269","Risk blows off fast as smoke","https://groups.google.com./g/net.med/c/WMn8p_H9Snc","2/12/86",1,"netmed"
"TH01268","Explanation of MVP - Self Diagnosis","https://groups.google.com./g/net.med/c/8qcv6npcQ8I","2/11/86",1,"netmed"
"TH01267","Cold Hands","https://groups.google.com./g/net.med/c/u6FYQSpityg","2/11/86",3,"netmed"
"TH01266","VDT radiation & related problems","https://groups.google.com./g/net.med/c/5MIViruU84k","2/10/86",1,"netmed"
"TH01265","sprained ankle","https://groups.google.com./g/net.med/c/49rlFTxJWqs","2/10/86",1,"netmed"
"TH01264","Shameful Statistics","https://groups.google.com./g/net.med/c/duEOEKkQpMk","2/10/86",8,"netmed"
"TH01263","Popping Sounds in Ears","https://groups.google.com./g/net.med/c/Kav7ChW3ilE","2/7/86",1,"netmed"
"TH01262","Ovaries Cysts","https://groups.google.com./g/net.med/c/wUcZazbDRCc","2/7/86",1,"netmed"
"TH01261","Cold Hands, Headaches, and a Question","https://groups.google.com./g/net.med/c/egCYrz9h2iQ","2/6/86",1,"netmed"
"TH01260","VDT radiation & related problems","https://groups.google.com./g/net.med/c/fPJCVDliQaM","2/6/86",1,"netmed"
"TH01259","AIDS budget cut proposal","https://groups.google.com./g/net.med/c/vTrrcpv0RUA","2/6/86",1,"netmed"
"TH01258","When Jennie Took to Bed (POMM7)","https://groups.google.com./g/net.med/c/WCcgqDnGUUQ","2/6/86",1,"netmed"
"TH01257","New Drug","https://groups.google.com./g/net.med/c/vT_GcPgy3sI","2/6/86",1,"netmed"
"TH01256","Blood lipids & thiazide diuretics (update)","https://groups.google.com./g/net.med/c/aq1d14pBhzc","2/5/86",1,"netmed"
"TH01255","migraines","https://groups.google.com./g/net.med/c/OYpNm7gu8W8","2/5/86",1,"netmed"
"TH01254","What kind of repair best for a front tooth","https://groups.google.com./g/net.med/c/gn04L8nEIF0","2/4/86",1,"netmed"
"TH01253","MS and dogs","https://groups.google.com./g/net.med/c/6m6cgTPztJk","2/4/86",1,"netmed"
"TH01252","Sprained ankle","https://groups.google.com./g/net.med/c/K3L1Jp98xfw","2/4/86",1,"netmed"
"TH01251","Doug grounded himself!","https://groups.google.com./g/net.med/c/LBKkPtx8GyM","2/4/86",1,"netmed"
"TH01250","Defective Condoms","https://groups.google.com./g/net.med/c/6Ac3NBlNA-Q","2/3/86",19,"netmed"
"TH01249","Aspirin vs. Tylenol","https://groups.google.com./g/net.med/c/25GfVVjIzY4","2/2/86",6,"netmed"
"TH01248","Answer to Medical Puzzle #7","https://groups.google.com./g/net.med/c/xiFVg_2088c","2/2/86",1,"netmed"
"TH01247","Medical Puzzle #8","https://groups.google.com./g/net.med/c/WzQmwowsDEs","2/2/86",1,"netmed"
"TH01246","Seek medical help for incapacita","https://groups.google.com./g/net.med/c/-b-xPcoVglk","2/2/86",1,"netmed"
"TH01245","Complexity Theory in (Neuro)biology","https://groups.google.com./g/net.med/c/m5VbiiaMr50","2/1/86",1,"netmed"
"TH01244","spontaneous combustion","https://groups.google.com./g/net.med/c/9UK_lXCMnrM","2/1/86",2,"netmed"
"TH01243","Jan. is Nat'l Vol. Blood Donor Mo.-paid donations","https://groups.google.com./g/net.med/c/3ClDc0bogNM","2/1/86",3,"netmed"
"TH01242","Self diagnosis. (Martin's reply to me.)","https://groups.google.com./g/net.med/c/ao5G2Keug40","1/31/86",4,"netmed"
"TH01241","How much Vitamin C is necessary.","https://groups.google.com./g/net.med/c/U9O2VuzCTqM","1/30/86",25,"netmed"
"TH01240","Medical Puzzle #7","https://groups.google.com./g/net.med/c/p-T3Hik632Y","1/30/86",2,"netmed"
"TH01239","Thanks Sue(8-).","https://groups.google.com./g/net.med/c/egZGr8OHgG0","1/30/86",1,"netmed"
"TH01238","cookbooks for diabetics","https://groups.google.com./g/net.med/c/5XzDtFIBnPE","1/30/86",2,"netmed"
"TH01237","Question on risks of using headphones.","https://groups.google.com./g/net.med/c/XABcK39UGJk","1/29/86",2,"netmed"
"TH01236","An explanation for polychromatic eyes (wanted)","https://groups.google.com./g/net.med/c/0f9BLBGEnNg","1/28/86",1,"netmed"
"TH01235","prevention of hangovers","https://groups.google.com./g/net.med/c/bqi5od4YMwo","1/28/86",30,"netmed"
"TH01234","Self Diagnosis","https://groups.google.com./g/net.med/c/RZe5bweqUVw","1/28/86",1,"netmed"
"TH01233","Dalkon Shield Notice","https://groups.google.com./g/net.med/c/gyORn5W-umc","1/28/86",1,"netmed"
"TH01232","Placebos: Kaopectate","https://groups.google.com./g/net.med/c/1avCgLmqaSk","1/28/86",15,"netmed"
"TH01231","January is National Volunteer Blood Donor Month.","https://groups.google.com./g/net.med/c/2uD5s_b9Vmc","1/28/86",9,"netmed"
"TH01230","AIDS Incidence in perspective","https://groups.google.com./g/net.med/c/1ARcUmBKZ10","1/28/86",1,"netmed"
"TH01229","Calcium oxalate kidney stones","https://groups.google.com./g/net.med/c/fq4Rla5sLtg","1/26/86",2,"netmed"
"TH01228","MVP","https://groups.google.com./g/net.med/c/QvHZBol9YkE","1/26/86",1,"netmed"
"TH01227","Production of methanol: where?","https://groups.google.com./g/net.med/c/OfKNxLit8NY","1/25/86",3,"netmed"
"TH01226","Answer to Medical Puzzle #6","https://groups.google.com./g/net.med/c/akgubYYgb4o","1/25/86",1,"netmed"
"TH01225","Answer to Medical Puzzle #5","https://groups.google.com./g/net.med/c/8zJUq68iMK0","1/24/86",2,"netmed"
"TH01224","Hi octane drinkables.","https://groups.google.com./g/net.med/c/mnl4rA0qiKQ","1/24/86",1,"netmed"
"TH01223","Medical Puzzle #6","https://groups.google.com./g/net.med/c/n6na0jO0yro","1/23/86",2,"netmed"
"TH01222","The Hidden Costs of Smoking","https://groups.google.com./g/net.med/c/nOHf7w6o4Po","1/23/86",4,"netmed"
"TH01221","Static in yer left ear?","https://groups.google.com./g/net.med/c/knxUsohdeOg","1/23/86",1,"netmed"
"TH01220","What's All This....","https://groups.google.com./g/net.med/c/rpJf-E4LvOo","1/23/86",1,"netmed"
"TH01219","Hint for Medical Puzzle #6","https://groups.google.com./g/net.med/c/lDyDlhr4k_8","1/22/86",1,"netmed"
"TH01218","SUGAR!","https://groups.google.com./g/net.med/c/t3FQ--jm9lc","1/22/86",2,"netmed"
"TH01217","Here's what happens if you take too much vitamin D.","https://groups.google.com./g/net.med/c/Oc3_k7f-Vn4","1/22/86",1,"netmed"
