"Unique_ThreadID","newsgroup","newsgroup_ID","NG_Relative_ThreadID","Thread.Title","URL","Date","Number.of.Messages"
"NG01_TH01427","netmed","NG01","TH01427","A new call for ignorance","https://groups.google.com./g/net.med/c/igO9rBw0QEQ",1986-10-03,2
"NG01_TH01426","netmed","NG01","TH01426","Why Take Drugs?","https://groups.google.com./g/net.med/c/nkSV2oe-Vs0",1986-10-03,2
"NG01_TH01425","netmed","NG01","TH01425","hardware/software/peripherals for quadriplegics","https://groups.google.com./g/net.med/c/G1cdLVEK5iU",1986-09-29,2
"NG01_TH01424","netmed","NG01","TH01424","Brief History of Drug Use and Control","https://groups.google.com./g/net.med/c/G6YUgOeSyTc",1986-09-29,2
"NG01_TH01423","netmed","NG01","TH01423","""I did not go in for a Pap Smear"" (POMMAMN2)","https://groups.google.com./g/net.med/c/N6IjAlAFqz8",1986-09-27,1
"NG01_TH01422","netmed","NG01","TH01422","Fun with Household Ammonia","https://groups.google.com./g/net.med/c/qhXb3WZzxM4",1986-09-25,2
"NG01_TH01421","netmed","NG01","TH01421","4 in 10 doctors uses mind-altering drugs","https://groups.google.com./g/net.med/c/UUgma2CP4X8",1986-09-25,1
"NG01_TH01420","netmed","NG01","TH01420","AIDS","https://groups.google.com./g/net.med/c/JVvLCQ24_jc",1986-09-24,3
"NG01_TH01419","netmed","NG01","TH01419","Yeast infection (yech!)","https://groups.google.com./g/net.med/c/_ZlPlcsv_CQ",1986-09-22,1
"NG01_TH01418","netmed","NG01","TH01418","warming lubricants and oils","https://groups.google.com./g/net.med/c/XuSB0r6Xgzw",1986-09-22,1
"NG01_TH01417","netmed","NG01","TH01417","Tomato fruit or vegetable","https://groups.google.com./g/net.med/c/68tR8y0mjsA",1986-09-20,1
"NG01_TH01416","netmed","NG01","TH01416","Foiling Drug Tests","https://groups.google.com./g/net.med/c/k3jLB8d2zmM",1986-09-20,2
"NG01_TH01415","netmed","NG01","TH01415","Drug Abuse - True Problem or Media Hype? (Worse Still)","https://groups.google.com./g/net.med/c/DxXraAh_iF0",1986-09-20,2
"NG01_TH01414","netmed","NG01","TH01414","Why K-Y Jelly? (was: Fear of penetration)","https://groups.google.com./g/net.med/c/2Xr-Gr7fxqs",1986-09-19,2
"NG01_TH01413","netmed","NG01","TH01413","Yeast, Yech, and Yogurt","https://groups.google.com./g/net.med/c/WWPqNf0cYYg",1986-09-17,1
"NG01_TH01412","netmed","NG01","TH01412","Drug Abuse - The Plot Thickens","https://groups.google.com./g/net.med/c/7JUf9J4h8pk",1986-09-14,1
"NG01_TH01411","netmed","NG01","TH01411","AIDS posting","https://groups.google.com./g/net.med/c/x0t_ee4RnlE",1986-09-11,1
"NG01_TH01410","netmed","NG01","TH01410","electrocardiograph","https://groups.google.com./g/net.med/c/4m2rxrGjxuQ",1986-09-03,2
"NG01_TH01409","netmed","NG01","TH01409","Stupid Analogies (was effects of pollution)","https://groups.google.com./g/net.med/c/-P-v9MA69xg",1986-08-26,2
"NG01_TH01408","netmed","NG01","TH01408","mactools for blind users","https://groups.google.com./g/net.med/c/A5QtdYDnOZM",1986-08-07,1
"NG01_TH01407","netmed","NG01","TH01407","Interesting AIDS fact","https://groups.google.com./g/net.med/c/bHCzTh7InXg",1986-07-30,1
"NG01_TH01406","netmed","NG01","TH01406","If sodomy, why not incest?","https://groups.google.com./g/net.med/c/bdzUWqGigc0",1986-07-28,12
"NG01_TH01405","netmed","NG01","TH01405","PSI: Yes I see it / No you don't","https://groups.google.com./g/net.med/c/E1L_IstofMM",1986-05-25,5
"NG01_TH01404","netmed","NG01","TH01404","Cancer -- was 'Plutonium'","https://groups.google.com./g/net.med/c/luX9w093bHI",1986-05-24,1
"NG01_TH01403","netmed","NG01","TH01403","Evolutionary advantage of Excess Brain matter","https://groups.google.com./g/net.med/c/9or8jOUMWJc",1986-05-21,3
"NG01_TH01402","netmed","NG01","TH01402","New mailing list for/about handicapped","https://groups.google.com./g/net.med/c/ZFck2S2VlYY",1986-05-20,1
"NG01_TH01401","netmed","NG01","TH01401","Japanese super pill: a surmise","https://groups.google.com./g/net.med/c/UjelUpn2i3w",1986-05-20,4
"NG01_TH01400","netmed","NG01","TH01400","Flame etymology clarification","https://groups.google.com./g/net.med/c/8DGjSD1v2CU",1986-05-17,5
"NG01_TH01399","netmed","NG01","TH01399","Esoteric Books","https://groups.google.com./g/net.med/c/DUpCgN9eFDc",1986-05-16,5
"NG01_TH01398","netmed","NG01","TH01398","NutraSweet (aspartame)","https://groups.google.com./g/net.med/c/OfqucfPprQ4",1986-05-12,2
"NG01_TH01397","netmed","NG01","TH01397","PSI: Yes I see it / No you don't","https://groups.google.com./g/net.med/c/m-ejLoYUfhk",1986-05-11,1
"NG01_TH01396","netmed","NG01","TH01396","Creation of *.psi (newsgroup or moderated mailing list)","https://groups.google.com./g/net.med/c/JHN5TCwfIrM",1986-05-11,3
"NG01_TH01395","netmed","NG01","TH01395","Request info: scientific programming in Israel","https://groups.google.com./g/net.med/c/l4TYvDo9G0g",1986-05-09,1
"NG01_TH01394","netmed","NG01","TH01394","Drug Disinformation, Ignorance and Prejudice","https://groups.google.com./g/net.med/c/Ko4tD45PGqg",1986-05-08,1
"NG01_TH01393","netmed","NG01","TH01393","Old Geiger counters","https://groups.google.com./g/net.med/c/uAUQAJARNMw",1986-05-07,6
"NG01_TH01392","netmed","NG01","TH01392","psychic ability, and throwing down the gauntlet","https://groups.google.com./g/net.med/c/p_jP8bJUv5I",1986-05-07,1
"NG01_TH01391","netmed","NG01","TH01391","Goodbye! (only temporarily)","https://groups.google.com./g/net.med/c/WEbukl6Whk8",1986-05-05,1
"NG01_TH01390","netmed","NG01","TH01390","NutraSweet Inquiry.","https://groups.google.com./g/net.med/c/1r_m-vJabRc",1986-04-29,5
"NG01_TH01389","netmed","NG01","TH01389","macrobiotic diet","https://groups.google.com./g/net.med/c/LdR8qprtM_U",1986-04-23,3
"NG01_TH01388","netmed","NG01","TH01388","Interactive Medical Telecomputing","https://groups.google.com./g/net.med/c/kG2DaKqgB2g",1986-04-21,1
"NG01_TH01387","netmed","NG01","TH01387","Calcium in a diet","https://groups.google.com./g/net.med/c/9dOjjCCgd04",1986-04-20,1
"NG01_TH01386","netmed","NG01","TH01386","Psychic Damages","https://groups.google.com./g/net.med/c/BOESPOo6_pM",1986-04-15,3
"NG01_TH01385","netmed","NG01","TH01385","Fingernails and Chalkboards","https://groups.google.com./g/net.med/c/8bEdPxLBDcw",1986-04-09,3
"NG01_TH01384","netmed","NG01","TH01384","contraceptives - a new wonder drug","https://groups.google.com./g/net.med/c/MEyw4jDUEXs",1986-04-01,1
"NG01_TH01383","netmed","NG01","TH01383","The male pill","https://groups.google.com./g/net.med/c/oAWxkMGRXcQ",1986-03-29,1
"NG01_TH01382","netmed","NG01","TH01382","An interesting sideline *FACT*","https://groups.google.com./g/net.med/c/EeNkjoLm2v4",1986-03-29,2
"NG01_TH01381","netmed","NG01","TH01381","Need arthroscopic (sp?) info","https://groups.google.com./g/net.med/c/XYBFFbNjsdY",1986-03-23,2
"NG01_TH01380","netmed","NG01","TH01380","Neuropsychology expert system inquiry.","https://groups.google.com./g/net.med/c/HSdt5DwJFtY",1986-03-23,1
"NG01_TH01379","netmed","NG01","TH01379","Answer to Medical Puzzle #12","https://groups.google.com./g/net.med/c/UUfMQQZ9f5o",1986-03-22,2
"NG01_TH01378","netmed","NG01","TH01378","I want to cut out milk. What do I put on my cereal?","https://groups.google.com./g/net.med/c/3pcuUAlz8NI",1986-03-21,8
"NG01_TH01377","netmed","NG01","TH01377","American Medico's experience in India (LONG!)","https://groups.google.com./g/net.med/c/K2cu5QGl1oc",1986-03-21,1
"NG01_TH01376","netmed","NG01","TH01376","Appendicitis - how common is it?","https://groups.google.com./g/net.med/c/3f6qTbmVD9E",1986-03-21,2
"NG01_TH01375","netmed","NG01","TH01375","Alzheimer's disease and alumin(i)um.","https://groups.google.com./g/net.med/c/tJMtDfcc4pM",1986-03-21,1
"NG01_TH01374","netmed","NG01","TH01374","Low Fat/Salt Diets","https://groups.google.com./g/net.med/c/cVWSuLD3EBQ",1986-03-21,1
"NG01_TH01373","netmed","NG01","TH01373","""The McDougall Plan"" by Dr. John McDougall","https://groups.google.com./g/net.med/c/qqcaUuXp7WU",1986-03-21,1
"NG01_TH01372","netmed","NG01","TH01372","question about hypercalcemia","https://groups.google.com./g/net.med/c/sGcWLtf75bk",1986-03-20,2
"NG01_TH01371","netmed","NG01","TH01371","Chiropractors, pain in the back","https://groups.google.com./g/net.med/c/fP5rw6403nA",1986-03-20,2
"NG01_TH01370","netmed","NG01","TH01370","Calcium Sources","https://groups.google.com./g/net.med/c/aItt2cCYdiw",1986-03-20,1
"NG01_TH01369","netmed","NG01","TH01369","What do you go to chiropractors for?","https://groups.google.com./g/net.med/c/Dz4ak_nyvFo",1986-03-20,6
"NG01_TH01368","netmed","NG01","TH01368","My opinion of Chiropractors.","https://groups.google.com./g/net.med/c/Zm9yrteQl0s",1986-03-19,12
"NG01_TH01367","netmed","NG01","TH01367","Augmentative Communication Systems: is anyone on the net involved?","https://groups.google.com./g/net.med/c/TAOmNz0SBhU",1986-03-19,1
"NG01_TH01366","netmed","NG01","TH01366","More NOVA programs...","https://groups.google.com./g/net.med/c/dcM8nVy3hcs",1986-03-19,1
"NG01_TH01365","netmed","NG01","TH01365","TUMS as calcium supplement???","https://groups.google.com./g/net.med/c/OTup98KkhlE",1986-03-18,3
"NG01_TH01364","netmed","NG01","TH01364","Questions on Food Allergies","https://groups.google.com./g/net.med/c/FBbzPFKKC48",1986-03-18,1
"NG01_TH01363","netmed","NG01","TH01363","Wanted: The Emergence of Man Time/Life series","https://groups.google.com./g/net.med/c/FePvwB62R44",1986-03-18,1
"NG01_TH01362","netmed","NG01","TH01362","a vitamin called Acidophilus","https://groups.google.com./g/net.med/c/E-ggQ9HMg84",1986-03-18,5
"NG01_TH01361","netmed","NG01","TH01361","exercise","https://groups.google.com./g/net.med/c/Ab95uod1pDc",1986-03-18,2
"NG01_TH01360","netmed","NG01","TH01360","Medical Puzzle #13","https://groups.google.com./g/net.med/c/VqFGWUXr2ZQ",1986-03-17,1
"NG01_TH01359","netmed","NG01","TH01359","The Plan (POMM8)","https://groups.google.com./g/net.med/c/8BewVfvocsw",1986-03-17,1
"NG01_TH01358","netmed","NG01","TH01358","I would like some information on Tunnel Carpal Syndrome.","https://groups.google.com./g/net.med/c/YQyO78-ixsI",1986-03-17,1
"NG01_TH01357","netmed","NG01","TH01357","Chiropractors","https://groups.google.com./g/net.med/c/qhwKOdq37jc",1986-03-17,1
"NG01_TH01356","netmed","NG01","TH01356","net.rec.drugs","https://groups.google.com./g/net.med/c/7UYCX-mGnRo",1986-03-16,1
"NG01_TH01355","netmed","NG01","TH01355","Recomendations wanted for books about sleep.","https://groups.google.com./g/net.med/c/cqYVT-tU3zw",1986-03-14,1
"NG01_TH01354","netmed","NG01","TH01354","More Warnings on eating raw shellfish","https://groups.google.com./g/net.med/c/3n1DvkDCfHk",1986-03-14,1
"NG01_TH01353","netmed","NG01","TH01353","Gamblers Anonymous","https://groups.google.com./g/net.med/c/pnVRia4kYoo",1986-03-13,1
"NG01_TH01352","netmed","NG01","TH01352","AIDS and RE: The worst (hist.) surgical proc.","https://groups.google.com./g/net.med/c/sI1ETPXOpyc",1986-03-12,12
"NG01_TH01351","netmed","NG01","TH01351","? for Internists/Surgeons/Those in the know","https://groups.google.com./g/net.med/c/f8LcLb9zRXc",1986-03-12,1
"NG01_TH01350","netmed","NG01","TH01350","Calcium Question","https://groups.google.com./g/net.med/c/4MAKl85yOLE",1986-03-11,2
"NG01_TH01349","netmed","NG01","TH01349","exercise?","https://groups.google.com./g/net.med/c/5Z8gIQcIlwU",1986-03-11,4
"NG01_TH01348","netmed","NG01","TH01348","Unipro nutitional suppliments","https://groups.google.com./g/net.med/c/xr0PYgyO6mE",1986-03-11,2
"NG01_TH01347","netmed","NG01","TH01347","The Prevalence of Vit. C Deficiency","https://groups.google.com./g/net.med/c/Spx8jicZvpA",1986-03-10,1
"NG01_TH01346","netmed","NG01","TH01346","Warning are sought on Vitamin Supplements","https://groups.google.com./g/net.med/c/ZXvPuPI9UtU",1986-03-10,5
"NG01_TH01345","netmed","NG01","TH01345","""Backpractors"".","https://groups.google.com./g/net.med/c/mpnSXsERABo",1986-03-10,1
"NG01_TH01344","netmed","NG01","TH01344","finding a good doctor","https://groups.google.com./g/net.med/c/pfAsEuX0EYM",1986-03-09,3
"NG01_TH01343","netmed","NG01","TH01343","Where are drugs (opiates) legal?","https://groups.google.com./g/net.med/c/wLlh2IORVtI",1986-03-09,25
"NG01_TH01342","netmed","NG01","TH01342","Answer to Medical Puzzle #11","https://groups.google.com./g/net.med/c/HsUmo9R0_3o",1986-03-08,2
"NG01_TH01341","netmed","NG01","TH01341","Medical Puzzle #12","https://groups.google.com./g/net.med/c/k7te4kuCTgQ",1986-03-08,1
"NG01_TH01340","netmed","NG01","TH01340","Clove cigarettes -- hazard","https://groups.google.com./g/net.med/c/xNj1HrXHnn8",1986-03-07,1
"NG01_TH01339","netmed","NG01","TH01339","The Twins","https://groups.google.com./g/net.med/c/bK6niIRhkt4",1986-03-06,4
"NG01_TH01338","netmed","NG01","TH01338","I must agree with Steve Dyer","https://groups.google.com./g/net.med/c/vADElY2cbxw",1986-03-06,1
"NG01_TH01337","netmed","NG01","TH01337","biting aluminum foil","https://groups.google.com./g/net.med/c/yj9Lba9F7Q0",1986-03-05,6
"NG01_TH01336","netmed","NG01","TH01336","Minor Strokes (was Re: Depiction: What I Really Think)","https://groups.google.com./g/net.med/c/B9ogw0pYLos",1986-03-05,1
"NG01_TH01335","netmed","NG01","TH01335","Premenstrual Syndrome","https://groups.google.com./g/net.med/c/WTD1m81a7TE",1986-03-05,1
"NG01_TH01334","netmed","NG01","TH01334","""medical student seeks u.s. rotation""","https://groups.google.com./g/net.med/c/xFnEcgfpYyo",1986-03-05,1
"NG01_TH01333","netmed","NG01","TH01333","another question to peruse","https://groups.google.com./g/net.med/c/GH8FamNGdp8",1986-03-04,1
"NG01_TH01332","netmed","NG01","TH01332","Contact fiasco (summary)","https://groups.google.com./g/net.med/c/nybvNcWTHyE",1986-03-04,1
"NG01_TH01331","netmed","NG01","TH01331","Antibiotics over-the-counter","https://groups.google.com./g/net.med/c/VjfBwF_zgYQ",1986-03-04,1
"NG01_TH01330","netmed","NG01","TH01330","Injured feet & varying medical advice","https://groups.google.com./g/net.med/c/xvY_x-4B4p8",1986-03-04,3
"NG01_TH01329","netmed","NG01","TH01329","Another Calcium Question","https://groups.google.com./g/net.med/c/aO65T0dg_WI",1986-03-04,1
"NG01_TH01328","netmed","NG01","TH01328","FOOT CRAMPS","https://groups.google.com./g/net.med/c/drbV8OI0goA",1986-03-03,5
"NG01_TH01327","netmed","NG01","TH01327","Muscle cramps","https://groups.google.com./g/net.med/c/EAUAkF4YGe8",1986-03-03,2
"NG01_TH01326","netmed","NG01","TH01326","Depression and (oh, no!) vitamins","https://groups.google.com./g/net.med/c/M853UWIMhDo",1986-03-03,7
"NG01_TH01325","netmed","NG01","TH01325","Memory","https://groups.google.com./g/net.med/c/QTBpdTd__SY",1986-03-02,5
"NG01_TH01324","netmed","NG01","TH01324","question about potassium supplements","https://groups.google.com./g/net.med/c/R9krVI5qdi4",1986-03-01,4
"NG01_TH01323","netmed","NG01","TH01323","Living With A Broken Leg","https://groups.google.com./g/net.med/c/daFEVcfHjQI",1986-03-01,1
"NG01_TH01322","netmed","NG01","TH01322","Smoking References","https://groups.google.com./g/net.med/c/s1V6QrMk5vM",1986-02-28,1
"NG01_TH01321","netmed","NG01","TH01321","Note/Correction to Medical Puzzle #11","https://groups.google.com./g/net.med/c/jn7qO3iE4NU",1986-02-28,1
"NG01_TH01320","netmed","NG01","TH01320","how do you choose a doctor?","https://groups.google.com./g/net.med/c/118C_QH1zTY",1986-02-28,1
"NG01_TH01319","netmed","NG01","TH01319","Shigechio Izumi dead","https://groups.google.com./g/net.med/c/b-3151VUKTw",1986-02-28,2
"NG01_TH01318","netmed","NG01","TH01318","Vanishing sense of smell","https://groups.google.com./g/net.med/c/MKhdJKX3PSw",1986-02-27,2
"NG01_TH01317","netmed","NG01","TH01317","bumper sticker","https://groups.google.com./g/net.med/c/ELsX1-ws6U4",1986-02-27,1
"NG01_TH01316","netmed","NG01","TH01316","Question -- Migraine Symptomology?","https://groups.google.com./g/net.med/c/qg_AKPSRCSc",1986-02-27,2
"NG01_TH01315","netmed","NG01","TH01315","Medical Puzzle # 11","https://groups.google.com./g/net.med/c/OxePO_BhtFw",1986-02-27,1
"NG01_TH01314","netmed","NG01","TH01314","Addendum to Medical Puzzle #10","https://groups.google.com./g/net.med/c/LYwp5-Gxij0",1986-02-27,1
"NG01_TH01313","netmed","NG01","TH01313","Answer to Medical Puzzle #10","https://groups.google.com./g/net.med/c/aepJDNsrdgQ",1986-02-27,1
"NG01_TH01312","netmed","NG01","TH01312","Milk intolerance.","https://groups.google.com./g/net.med/c/VOKKlg901b8",1986-02-27,3
"NG01_TH01311","netmed","NG01","TH01311","``Congenital dysplasia of the limbs'' -- huh?","https://groups.google.com./g/net.med/c/iVKJXVxP4eE",1986-02-27,2
"NG01_TH01310","netmed","NG01","TH01310","Tetracycline and Antacids","https://groups.google.com./g/net.med/c/ouoNlZtjBxo",1986-02-27,6
"NG01_TH01309","netmed","NG01","TH01309","Thick-feeling and Contact Lenses","https://groups.google.com./g/net.med/c/Nlk-p2RgLMI",1986-02-26,1
"NG01_TH01308","netmed","NG01","TH01308","The worst (historical) surgical procedure","https://groups.google.com./g/net.med/c/w2PT9SGgA7Y",1986-02-26,13
"NG01_TH01307","netmed","NG01","TH01307","Medical Puzzle #10","https://groups.google.com./g/net.med/c/wRbCCjTuzpM",1986-02-26,3
"NG01_TH01306","netmed","NG01","TH01306","Doctor Joke","https://groups.google.com./g/net.med/c/KOvmoQtxKv8",1986-02-26,1
"NG01_TH01305","netmed","NG01","TH01305","Medical Puzzler #8898?","https://groups.google.com./g/net.med/c/QaGfb2HaorY",1986-02-26,1
"NG01_TH01304","netmed","NG01","TH01304","contact lens fiasco","https://groups.google.com./g/net.med/c/hzYJwabkEJs",1986-02-25,4
"NG01_TH01303","netmed","NG01","TH01303","Starved for affliction","https://groups.google.com./g/net.med/c/X3tZaFQoZFc",1986-02-25,3
"NG01_TH01302","netmed","NG01","TH01302","Science Fair (Help !)","https://groups.google.com./g/net.med/c/51qvqt0qjks",1986-02-24,1
"NG01_TH01301","netmed","NG01","TH01301","article i posted that died","https://groups.google.com./g/net.med/c/hmq_H4suuEM",1986-02-24,1
"NG01_TH01300","netmed","NG01","TH01300","Answer to Medical Puzzle #9","https://groups.google.com./g/net.med/c/UbSALEST2L4",1986-02-24,2
"NG01_TH01299","netmed","NG01","TH01299","potential for arthritis","https://groups.google.com./g/net.med/c/RU05tkjHFH8",1986-02-24,1
"NG01_TH01298","netmed","NG01","TH01298","treatment for sprains, strains","https://groups.google.com./g/net.med/c/vSGK83g0glk",1986-02-24,1
"NG01_TH01297","netmed","NG01","TH01297","contact lens fiasco, or ""How long do they last?""","https://groups.google.com./g/net.med/c/sYoYAseaLdQ",1986-02-24,1
"NG01_TH01296","netmed","NG01","TH01296","Query: software packages for doctor's office","https://groups.google.com./g/net.med/c/DC6-0jLUUhQ",1986-02-23,1
"NG01_TH01295","netmed","NG01","TH01295","Travel to Nicaragua & work at your profession/hobby for 2 weeks","https://groups.google.com./g/net.med/c/Ph1Rn9WznYA",1986-02-23,1
"NG01_TH01294","netmed","NG01","TH01294","Designer Bandages","https://groups.google.com./g/net.med/c/gelu6cSxjFk",1986-02-22,1
"NG01_TH01293","netmed","NG01","TH01293","Milk is not for every body.","https://groups.google.com./g/net.med/c/ZX_iW0aqcuo",1986-02-21,4
"NG01_TH01292","netmed","NG01","TH01292","Danger/non-danger of smoking references wanted","https://groups.google.com./g/net.med/c/s_I5-Fpw5no",1986-02-21,2
"NG01_TH01291","netmed","NG01","TH01291","The Hospital","https://groups.google.com./g/net.med/c/qUoivPG2HSI",1986-02-21,1
"NG01_TH01290","netmed","NG01","TH01290","Amer.Soc.Biol.Chemists meeting June 8-12, Washington, D.C.","https://groups.google.com./g/net.med/c/EDuinXAqPMM",1986-02-20,1
"NG01_TH01289","netmed","NG01","TH01289","Golden Hair Syndrome -- What is it?","https://groups.google.com./g/net.med/c/cADEQwa76gM",1986-02-20,1
"NG01_TH01288","netmed","NG01","TH01288","Soy allergy","https://groups.google.com./g/net.med/c/cZxEFF9lsmw",1986-02-20,1
"NG01_TH01287","netmed","NG01","TH01287","Losing Body Fat","https://groups.google.com./g/net.med/c/0s0c5rMv0oI",1986-02-20,1
"NG01_TH01286","netmed","NG01","TH01286","CPR as portrayed on TV.","https://groups.google.com./g/net.med/c/l46ZBniqKAM",1986-02-20,3
"NG01_TH01285","netmed","NG01","TH01285","Discomfort After Taking Contacts Out","https://groups.google.com./g/net.med/c/83USQMcIoCc",1986-02-20,2
"NG01_TH01284","netmed","NG01","TH01284","the food groups vs. the chinese","https://groups.google.com./g/net.med/c/EsxzL6liDsE",1986-02-20,9
"NG01_TH01283","netmed","NG01","TH01283","CPR, First Aid, & Liability","https://groups.google.com./g/net.med/c/qVvEd-3DBPQ",1986-02-19,5
"NG01_TH01282","netmed","NG01","TH01282","Data on human exposures to toxic chemicals sought","https://groups.google.com./g/net.med/c/rhw7qqVp1H0",1986-02-19,1
"NG01_TH01281","netmed","NG01","TH01281","PBS Nova program -- 'The Case of the Frozen Addict'","https://groups.google.com./g/net.med/c/h83zpVr8v0I",1986-02-18,1
"NG01_TH01280","netmed","NG01","TH01280","Best Ways of Reducing body fat???","https://groups.google.com./g/net.med/c/4oxnfJe5zu0",1986-02-18,1
"NG01_TH01279","netmed","NG01","TH01279","Dr. Joke.","https://groups.google.com./g/net.med/c/XlZbQZcES1U",1986-02-18,1
"NG01_TH01278","netmed","NG01","TH01278","Medical Quiz # 89976","https://groups.google.com./g/net.med/c/QNrplu0hGfA",1986-02-18,1
"NG01_TH01277","netmed","NG01","TH01277","Sprained Ankle","https://groups.google.com./g/net.med/c/LL-mr6iXO6U",1986-02-15,1
"NG01_TH01276","netmed","NG01","TH01276","pertussis (whooping cough) innoculation","https://groups.google.com./g/net.med/c/8TNP4BmXYrY",1986-02-13,1
"NG01_TH01275","netmed","NG01","TH01275","Barbara's reply on MVP.","https://groups.google.com./g/net.med/c/yXuvuMAgo6Y",1986-02-13,1
"NG01_TH01274","netmed","NG01","TH01274","Pregnancy During Residency","https://groups.google.com./g/net.med/c/iuowA5JqYsI",1986-02-13,1
"NG01_TH01273","netmed","NG01","TH01273","Correction about eye specialists (from article 1788)","https://groups.google.com./g/net.med/c/MvQ4qEEfZvk",1986-02-12,1
"NG01_TH01272","netmed","NG01","TH01272","floaters","https://groups.google.com./g/net.med/c/jYopFScu5GI",1986-02-12,4
"NG01_TH01271","netmed","NG01","TH01271","Medical Puzzle #9","https://groups.google.com./g/net.med/c/y3eiXxgxumQ",1986-02-12,1
"NG01_TH01270","netmed","NG01","TH01270","Answer to Medical Puzzle #8","https://groups.google.com./g/net.med/c/N36YYcDA21I",1986-02-12,1
"NG01_TH01269","netmed","NG01","TH01269","Risk blows off fast as smoke","https://groups.google.com./g/net.med/c/WMn8p_H9Snc",1986-02-12,1
"NG01_TH01268","netmed","NG01","TH01268","Explanation of MVP - Self Diagnosis","https://groups.google.com./g/net.med/c/8qcv6npcQ8I",1986-02-11,1
"NG01_TH01267","netmed","NG01","TH01267","Cold Hands","https://groups.google.com./g/net.med/c/u6FYQSpityg",1986-02-11,3
"NG01_TH01266","netmed","NG01","TH01266","VDT radiation & related problems","https://groups.google.com./g/net.med/c/5MIViruU84k",1986-02-10,1
"NG01_TH01265","netmed","NG01","TH01265","sprained ankle","https://groups.google.com./g/net.med/c/49rlFTxJWqs",1986-02-10,1
"NG01_TH01264","netmed","NG01","TH01264","Shameful Statistics","https://groups.google.com./g/net.med/c/duEOEKkQpMk",1986-02-10,8
"NG01_TH01263","netmed","NG01","TH01263","Popping Sounds in Ears","https://groups.google.com./g/net.med/c/Kav7ChW3ilE",1986-02-07,1
"NG01_TH01262","netmed","NG01","TH01262","Ovaries Cysts","https://groups.google.com./g/net.med/c/wUcZazbDRCc",1986-02-07,1
"NG01_TH01261","netmed","NG01","TH01261","Cold Hands, Headaches, and a Question","https://groups.google.com./g/net.med/c/egCYrz9h2iQ",1986-02-06,1
"NG01_TH01260","netmed","NG01","TH01260","VDT radiation & related problems","https://groups.google.com./g/net.med/c/fPJCVDliQaM",1986-02-06,1
"NG01_TH01259","netmed","NG01","TH01259","AIDS budget cut proposal","https://groups.google.com./g/net.med/c/vTrrcpv0RUA",1986-02-06,1
"NG01_TH01258","netmed","NG01","TH01258","When Jennie Took to Bed (POMM7)","https://groups.google.com./g/net.med/c/WCcgqDnGUUQ",1986-02-06,1
"NG01_TH01257","netmed","NG01","TH01257","New Drug","https://groups.google.com./g/net.med/c/vT_GcPgy3sI",1986-02-06,1
"NG01_TH01256","netmed","NG01","TH01256","Blood lipids & thiazide diuretics (update)","https://groups.google.com./g/net.med/c/aq1d14pBhzc",1986-02-05,1
"NG01_TH01255","netmed","NG01","TH01255","migraines","https://groups.google.com./g/net.med/c/OYpNm7gu8W8",1986-02-05,1
