"Unique_ThreadID","newsgroup","newsgroup_ID","NG_Relative_ThreadID","Thread.Title","URL","Date","Number.of.Messages","ThreadRelevancyScore","Quintile"
"NG02_TH00829","netmotss","NG02","TH00829","Nomenclature - Gay/Homosexual/Lesbia","https://groups.google.com./g/net.motss/c/0msSHXzLHFs",1985-09-02,13,11,"Q2"
"NG02_TH00752","netmotss","NG02","TH00752","The Age of AIDS","https://groups.google.com./g/net.motss/c/iNn_68vSslQ",1985-07-07,5,13,"Q2"
"NG02_TH00712","netmotss","NG02","TH00712","Yuppies","https://groups.google.com./g/net.motss/c/RUW1ElCkB1Y",1985-05-27,16,11,"Q2"
"NG02_TH00711","netmotss","NG02","TH00711","Data: Homosexuality may not be learned","https://groups.google.com./g/net.motss/c/DuQF-VQciSg",1985-05-26,22,19,"Q2"
"NG02_TH00677","netmotss","NG02","TH00677","why gays like to be visible","https://groups.google.com./g/net.motss/c/ikUTfp0NGlw",1985-04-18,18,12,"Q2"
"NG02_TH00577","netmotss","NG02","TH00577","Test for exposure to AIDS","https://groups.google.com./g/net.motss/c/G0h9guZRBWs",1985-01-08,4,16,"Q2"
"NG02_TH00552","netmotss","NG02","TH00552","Biological basis for homosexuality?","https://groups.google.com./g/net.motss/c/DnGxx6JvULA",1984-12-13,14,14,"Q2"
"NG02_TH00525","netmotss","NG02","TH00525","""Gay Rights""","https://groups.google.com./g/net.motss/c/EXDdRKjSTyg",1984-11-27,23,15,"Q2"
"NG02_TH00510","netmotss","NG02","TH00510","Ronald Reagan's Homophobic Career","https://groups.google.com./g/net.motss/c/h_EAdo79dgg",1984-11-14,19,15,"Q2"
"NG02_TH00474","netmotss","NG02","TH00474","Gay Rights","https://groups.google.com./g/net.motss/c/BW6IyLYQZIU",1984-10-27,50,39,"Q5"
"NG02_TH00382","netmotss","NG02","TH00382","homosexual associations","https://groups.google.com./g/net.motss/c/tVt7VZQEzhc",1984-09-13,25,27,"Q3"
"NG02_TH00357","netmotss","NG02","TH00357","Serpent in Paradise","https://groups.google.com./g/net.motss/c/fx91yGF5YjY",1984-08-24,7,12,"Q2"
"NG02_TH00266","netmotss","NG02","TH00266","Sorry, Jeff","https://groups.google.com./g/net.motss/c/oMmKr28eTuQ",1984-07-02,11,11,"Q2"
"NG04_TH03608","netpolitics","NG04","TH03608","Evolution banned in the US Schools.","https://groups.google.com./g/net.politics/c/3uQUtQqEnKc",1985-11-02,226,26,"Q3"
"NG04_TH03597","netpolitics","NG04","TH03597","A suggestion for a ground rule in any pornography debate","https://groups.google.com./g/net.politics/c/TkOIuaxZ9eY",1985-10-30,26,20,"Q3"
"NG04_TH03414","netpolitics","NG04","TH03414","The funny thing about the opponents of AA","https://groups.google.com./g/net.politics/c/ljHyOcZHjSE",1985-08-30,86,12,"Q2"
"NG04_TH03242","netpolitics","NG04","TH03242","Discrimination and AA","https://groups.google.com./g/net.politics/c/2wkTIBW3DD4",1985-07-16,60,15,"Q2"
"NG04_TH03175","netpolitics","NG04","TH03175","Discrimination and Affirmative Action","https://groups.google.com./g/net.politics/c/reXmN_1112o",1985-06-28,102,46,"Q5"
"NG04_TH03075","netpolitics","NG04","TH03075","Yuppies","https://groups.google.com./g/net.politics/c/aIvCkMSpuus",1985-05-27,17,11,"Q2"
"NG04_TH02246","netpolitics","NG04","TH02246","Ronald Reagan's Homophobic Career","https://groups.google.com./g/net.politics/c/h_EAdo79dgg",1984-11-14,20,16,"Q2"
"NG04_TH01356","netpolitics","NG04","TH01356","Child molestation and pornography","https://groups.google.com./g/net.politics/c/UfiBcWgMgK4",1984-03-13,14,12,"Q2"
"NG05_TH02918","netreligion","NG05","TH02918","Evolution banned in the US Schools.","https://groups.google.com./g/net.religion/c/3uQUtQqEnKc",1985-11-05,211,27,"Q3"
"NG05_TH02438","netreligion","NG05","TH02438","Black's ravings (comment about Sodom)","https://groups.google.com./g/net.religion/c/vbTOJjDayUA",1985-03-25,21,18,"Q2"
"NG05_TH02112","netreligion","NG05","TH02112","'Gay Rights': A conflict of values - (nf)","https://groups.google.com./g/net.religion/c/HBGJO9A5hH0",1984-12-10,24,15,"Q2"
"NG05_TH02023","netreligion","NG05","TH02023","""Gay Rights""","https://groups.google.com./g/net.religion/c/EXDdRKjSTyg",1984-11-27,15,13,"Q2"
"NG05_TH01885","netreligion","NG05","TH01885","Gay Rights","https://groups.google.com./g/net.religion/c/BW6IyLYQZIU",1984-10-27,49,38,"Q5"
"NG05_TH01718","netreligion","NG05","TH01718","Serpent in Paradise","https://groups.google.com./g/net.religion/c/fx91yGF5YjY",1984-08-24,7,12,"Q2"
"NG05_TH00819","netreligion","NG05","TH00819","Observations on net.motss, end-of-world survey","https://groups.google.com./g/net.religion/c/KMktoF8Q3gE",1983-11-20,15,14,"Q2"
"NG06_TH03501","netsingles","NG06","TH03501","Attorney General's Commission on Pornography","https://groups.google.com./g/net.singles/c/Ezg_AS7NtJ8",1986-09-20,19,16,"Q2"
"NG06_TH03479","netsingles","NG06","TH03479","Supreme Court Ruling on Sodomy","https://groups.google.com./g/net.singles/c/x4HfOYalFfw",1986-08-11,34,27,"Q3"
"NG06_TH03451","netsingles","NG06","TH03451","Beach harassment","https://groups.google.com./g/net.singles/c/oC_5BDC_Wvw",1986-03-31,115,25,"Q3"
"NG06_TH03449","netsingles","NG06","TH03449","Why male dominance?","https://groups.google.com./g/net.singles/c/gMNnQZ8Ul_4",1986-03-30,57,17,"Q2"
"NG06_TH03447","netsingles","NG06","TH03447","Tan Lines and armpits","https://groups.google.com./g/net.singles/c/tpqG6Y-hfBw",1986-03-30,31,15,"Q2"
"NG06_TH03419","netsingles","NG06","TH03419","career vs. relationships","https://groups.google.com./g/net.singles/c/kKkXz5Ln0_E",1986-03-26,127,35,"Q4"
"NG06_TH03385","netsingles","NG06","TH03385","Truth is stranger than doctrine","https://groups.google.com./g/net.singles/c/xvBqaI5vR_o",1986-03-19,46,12,"Q2"
"NG06_TH03183","netsingles","NG06","TH03183","Nominally single????","https://groups.google.com./g/net.singles/c/j3E7QTA-M80",1985-12-04,71,29,"Q4"
"NG06_TH03179","netsingles","NG06","TH03179","Answer to AIDS questions","https://groups.google.com./g/net.singles/c/5cgl9ZU_E2g",1985-12-03,6,12,"Q2"
"NG06_TH03168","netsingles","NG06","TH03168","Saving Lives","https://groups.google.com./g/net.singles/c/De20yQjf2eQ",1985-11-25,8,18,"Q2"
"NG06_TH03068","netsingles","NG06","TH03068","turndowns","https://groups.google.com./g/net.singles/c/Qe7XfYpGkHI",1985-10-02,296,17,"Q2"
"NG06_TH03028","netsingles","NG06","TH03028","Politics of AIDS, of Foster Care","https://groups.google.com./g/net.singles/c/NB_zOSZvP_E",1985-09-13,7,16,"Q2"
"NG06_TH03016","netsingles","NG06","TH03016","Women of mystery.","https://groups.google.com./g/net.singles/c/Bg9CY4f0M78",1985-09-10,21,18,"Q2"
"NG06_TH03008","netsingles","NG06","TH03008","a sex problem","https://groups.google.com./g/net.singles/c/tSGPg1W8ZBo",1985-09-05,18,11,"Q2"
"NG06_TH02994","netsingles","NG06","TH02994","""The Invisible Partners""","https://groups.google.com./g/net.singles/c/PRHlJ99x1To",1985-08-29,40,14,"Q2"
"NG06_TH02958","netsingles","NG06","TH02958","Just how far can friendship go?","https://groups.google.com./g/net.singles/c/6XH_uFVwXZQ",1985-08-20,69,35,"Q4"
"NG06_TH02924","netsingles","NG06","TH02924","What people look for in MOTAS","https://groups.google.com./g/net.singles/c/2b-dN7YcmHQ",1985-08-09,126,12,"Q2"
"NG06_TH02862","netsingles","NG06","TH02862","friendship vs. SOship","https://groups.google.com./g/net.singles/c/VfyXvpXxWVQ",1985-07-18,21,11,"Q2"
"NG06_TH02819","netsingles","NG06","TH02819","The Age of AIDS","https://groups.google.com./g/net.singles/c/iNn_68vSslQ",1985-07-07,5,13,"Q2"
"NG06_TH02778","netsingles","NG06","TH02778","Yet another new reader. Keywd: GIRLS","https://groups.google.com./g/net.singles/c/GqcrnE1xEJs",1985-06-18,43,16,"Q2"
"NG06_TH02733","netsingles","NG06","TH02733","Yuppies","https://groups.google.com./g/net.singles/c/RUW1ElCkB1Y",1985-05-27,16,11,"Q2"
"NG06_TH02524","netsingles","NG06","TH02524","Yet Another New Topic","https://groups.google.com./g/net.singles/c/9C6oLAbnvnQ",1985-03-14,17,12,"Q2"
"NG06_TH02419","netsingles","NG06","TH02419","Ann Landers Survey","https://groups.google.com./g/net.singles/c/3In8D3Zz864",1985-02-14,15,15,"Q2"
"NG06_TH02355","netsingles","NG06","TH02355","male/female differences","https://groups.google.com./g/net.singles/c/XqUUJHUWaWM",1985-01-28,16,15,"Q2"
"NG06_TH02199","netsingles","NG06","TH02199","Big Breasts","https://groups.google.com./g/net.singles/c/9xhH-B8mf_Q",1984-12-29,62,22,"Q3"
"NG06_TH02175","netsingles","NG06","TH02175","Meeting the Parents","https://groups.google.com./g/net.singles/c/bxqNFh6W7x0",1984-12-21,40,15,"Q2"
"NG06_TH02067","netsingles","NG06","TH02067","Kate Hepburn on sex life of today's college students","https://groups.google.com./g/net.singles/c/4VtjnevE5hY",1984-11-07,16,15,"Q2"
"NG06_TH01873","netsingles","NG06","TH01873","Trish revisited, calmly","https://groups.google.com./g/net.singles/c/3LjOTGDGe7g",1984-09-21,35,16,"Q2"
"NG06_TH01823","netsingles","NG06","TH01823","Last Call for 'What you look for in a MOTAS'","https://groups.google.com./g/net.singles/c/0Zdk_9pzBN8",1984-09-10,16,12,"Q2"
"NG06_TH01811","netsingles","NG06","TH01811","homosexual associations","https://groups.google.com./g/net.singles/c/tVt7VZQEzhc",1984-09-06,19,19,"Q2"
"NG06_TH01670","netsingles","NG06","TH01670","Homosexual teachers- a serious question","https://groups.google.com./g/net.singles/c/-H3swG-Bq9w",1984-08-03,29,15,"Q2"
"NG06_TH01535","netsingles","NG06","TH01535","thoughts on desperation","https://groups.google.com./g/net.singles/c/n6JCJwN41i4",1984-07-12,38,22,"Q3"
"NG06_TH01484","netsingles","NG06","TH01484","""Why be gay ...?""","https://groups.google.com./g/net.singles/c/o3huWFV6cms",1984-07-05,18,19,"Q2"
"NG06_TH01431","netsingles","NG06","TH01431","faggots and dykes","https://groups.google.com./g/net.singles/c/QzyF2Xp2XOU",1984-06-25,26,13,"Q2"
"NG06_TH00923","netsingles","NG06","TH00923","gay response response","https://groups.google.com./g/net.singles/c/sLXBfBgQytc",1983-09-03,16,13,"Q2"
